100	6.57e-07
600	6.73e-07
1100	6.41e-07
1600	5.49e-07
2100	5.62e-07
2600	5.3e-07
3100	6.39e-07
3600	5.14e-07
4100	6.08e-07
4600	6.22e-07
5100	5.72e-07
5600	5.39e-07
6100	6.87e-07
6600	3.34e-07
7100	3.19e-07
7600	4.03e-07
8100	3.59e-07
8600	4.32e-07
9100	4.54e-07
9600	4.41e-07
10100	3.49e-07
10600	4.36e-07
11100	4.26e-07
11600	3.18e-07
12100	3.44e-07
12600	3.85e-07
13100	4.23e-07
13600	3.53e-07
14100	4.29e-07
14600	1.316e-06
15100	4.43e-07
15600	4.9e-07
16100	4.48e-07
16600	4.99e-07
17100	4.71e-07
17600	3.17e-07
18100	3.58e-07
18600	3.37e-07
19100	3.4e-07
19600	4.21e-07
20100	4.25e-07
20600	3.69e-07
21100	3.58e-07
21600	2.92e-07
22100	3.77e-07
22600	6.42e-07
23100	3.6e-07
23600	3.23e-07
24100	4.1e-07
24600	3.99e-07
25100	3.19e-07
25600	3.5e-07
26100	3.67e-07
26600	3.4e-07
27100	2.98e-07
27600	3.49e-07
28100	3.5e-07
28600	3.4e-07
29100	3.34e-07
29600	3.02e-07
