100	3.66364e-05
600	0.000607258
1100	0.00201491
1600	0.0042191
2100	0.00723078
2600	0.0113311
3100	0.0159128
3600	0.0210549
4100	0.0275117
4600	0.0346625
5100	0.0419452
5600	0.0558177
6100	0.0600542
6600	0.0705366
7100	0.0919837
7600	0.0931568
8100	0.106314
8600	0.120175
9100	0.134785
9600	0.154161
10100	0.168062
10600	0.186244
11100	0.203188
11600	0.220676
12100	0.237546
12600	0.256646
13100	0.277112
13600	0.297289
14100	0.339533
14600	0.343328
15100	0.367237
15600	0.391003
16100	0.416194
16600	0.444664
17100	0.500155
17600	0.502014
18100	0.56715
18600	0.559144
19100	0.593833
19600	0.622066
20100	0.687371
20600	0.746395
21100	0.784324
21600	0.755105
22100	0.816744
22600	0.862474
23100	0.866569
23600	0.931621
24100	0.983294
24600	0.972657
25100	1.12893
25600	1.05302
26100	1.19262
26600	1.22836
27100	1.1838
27600	1.2268
28100	1.27139
28600	1.35328
29100	1.36318
29600	1.42514
